iso3c,n_amr_events,n_amr_first_events,health_expend_perc,migrant_pop_per_capita,population,ab_export_bin,english_spoken,human_consumption_ddd,livestock_pcu,ab_export_per_capita,ab_import_per_capita,livestock_consumption_kg_per_capita,livestock_consumption_kg_per_pcu,gdp_per_capita,tourism_outbound_per_capita,tourism_inbound_per_capita,pubcrawl_per_capita,promed_mentions_per_capita
BLZ,NA,NA,5.81823015,0.14922726542282905,360926,1,1,NA,87790836.75,4.155976571374742e-5,0.12844738256595534,NA,NA,4770.232655638884,NA,3.5990757108105265,7.432062084748674e-6,6.815801577054576e-4
BEN,NA,NA,2.90741515,0.023203468393702624,10575962,1,0,NA,720312112.2,2.8366213872553625e-7,0.20965601048869123,NA,NA,1076.7967015302154,NA,0.026380578901474872,7.009148404655765e-6,1.3889989392927094e-4
BTN,NA,NA,3.65720773,0.07021164057509084,727885,1,0,NA,74558930.9,2.8850711307418067e-5,NA,NA,NA,2752.63017233677,NA,NA,5.040572470926039e-6,8.586521222445853e-4
BOL,NA,NA,6.55064964,0.013154786152961269,10869732,1,0,NA,5947421775,5.7039124791669195e-6,0.3386638235422916,NA,NA,3035.9716549510695,NA,NA,1.4077259788925797e-5,9.715050932258495e-5
BIH,NA,NA,9.33953667,0.01014853491699039,3429362,1,0,7.459571361541748,510439421.9,0.0020079536660171774,0.13599847435178902,NA,NA,4727.2763331033,NA,NA,6.174151932633534e-6,7.319145660329822e-5
BWA,NA,NA,5.72629929,0.07574988824529075,2120716,0,1,NA,830382876.8,NA,0.011586181270853806,NA,NA,6799.870177834137,NA,0.7827545036676292,3.593039785619574e-5,4.0222264555932994e-4
BRA,49,45,8.87090969,0.003489812008708743,204471759,1,0,5.8552422523498535,143151000000,0.2113813771221091,1.3994088836493064,NA,NA,8814.001417874631,NA,NA,1.674890715348128e-5,1.9831100489530194e-4
BRN,NA,NA,2.38708901,0.24760070761651812,414914,0,1,NA,121031055.1,NA,0.49273584405443055,NA,NA,31164.036252846854,NA,NA,1.9752404903184755e-5,1.277373142386133e-4
BGR,18,3,7.41338348,0.014225846758515022,7177991,1,0,9.4195127487182617,567774879.8,5.104487592698291,3.737178968321359,0.006906946525845463,8.731981946341826e-5,7055.935672912448,NA,1.297995497626007,2.901242804567462e-5,1.24965328042345e-4
BFA,NA,NA,5.82546854,0.03890955448450787,18110616,0,0,NA,1814732994,NA,2.801119520175349e-4,NA,NA,653.3272681394714,NA,NA,1.647775183903187e-6,1.4648866719939289e-4
