Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
GU,Manure applied to Soils,57,Belarus,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,59653270.66,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,57,Belarus,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,39768847.11,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,255,Belgium,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,147808019,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,255,Belgium,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,44342405.7,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,255,Belgium,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,29561603.8,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,23,Belize,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,996319.4257,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,23,Belize,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,298895.8277,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,23,Belize,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,199263.8851,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,53,Benin,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,12935924.64,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,53,Benin,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,3880777.393,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,53,Benin,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,2587184.929,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,17,Bermuda,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,53183.0673,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,17,Bermuda,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,15954.9202,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,17,Bermuda,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,10636.6135,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,18,Bhutan,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,1959046.746,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,18,Bhutan,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,587714.0236,A,"Aggregate, may include official, semi-official, estimated or calculated data"
