iso3c,n_amr_events,health_expend_perc,ln_migrant_pop_per_capita,ln_population,ab_export_bin,english_spoken,human_consumption_ddd,ln_livestock_consumption_kg_per_pcu,ln_livestock_pcu,ln_ab_export_per_capita,ln_ab_import_per_capita,ln_gdp_per_capita,ln_tourism_outbound_per_capita,ln_tourism_inbound_per_capita,ln_pubcrawl_per_capita,ln_promed_mentions_per_capita
BDI,0,4.88310844,-3.5673966982629244,16.133971952866155,0,1,NA,-10.372975540217608,18.66127351183673,1.7723794704949818,-3.7021497545950783,5.722112687755115,NA,NA,-13.274729216649968,-8.802911647647523
CPV,0,5.31378574,-3.559937963567292,13.17066389790834,0,0,NA,NA,NA,1.7723794704949818,-2.963079731652337,8.020603745450323,NA,NA,-14.038281203938208,-7.199402058117878
KHM,0,6.17148507,-5.346412347067673,16.557732594212297,0,0,NA,-10.109627489727261,20.84787577282958,1.7723794704949818,-1.115041008013222,7.058676395067852,NA,NA,-13.014871433436692,-8.684515539349556
CMR,0,4.69952298,-4.11075987126959,16.963893873164356,0,1,NA,-10.091723354709417,21.190245261248908,1.7723794704949818,-5.028149223600697,7.190652881976997,NA,-3.257082732123421,-11.494495030178296,-7.895578001217589
CAN,98,10.37650812,-1.5165671968211698,17.390742700015092,1,1,7.247888088226318,-9.03552049958112,22.894885574285013,-1.5787264703511885,1.7759634289460209,10.680402518360225,0.44960155740715246,-0.25904813471562055,-9.147674744171885,-8.21323548513415
CAF,0,6.30899109,-4.008508993123368,15.318069023971274,0,0,NA,-10.09881887311369,19.742713291451043,1.7723794704949818,-5.759327844508605,5.932964434907378,NA,NA,-11.254205807623265,-8.646036078510207
TCD,0,4.54621344,-3.3067271653471346,16.462463421370835,0,0,NA,-10.118133397660161,22.785409760034042,1.7723794704949818,-5.1637093779166126,6.653775546450376,NA,NA,-11.675052469352275,-8.3931210545592
CHL,4,8.29995557,-3.6448910005499795,16.704178253659702,1,1,4.317286968231201,-9.477321722459434,22.113236880881388,-4.374981306907393,1.146845324847452,9.515924135995693,-1.4769492822353785,-1.1862860376185893,-10.84229431182454,-9.133219670490691
CHN,120,4.88872272,-7.245654708790031,21.038966691465713,1,0,3.0258612632751465,-8.051605991281242,24.568553399865646,0.9926132640424998,-1.3867359637242052,8.991361641132691,NA,-2.326960520146767,-11.988405554556236,-11.020321769542136
COL,15,6.0226695,-5.877563850320972,17.676675269115442,1,0,2.8694586753845215,-9.896282710121982,23.047398507628277,-3.4527106078763787,0.36652697838631143,8.728406018592299,NA,-2.2971426622475515,-11.772418719689309,-9.993271588061617
COM,0,7.68427435,-4.125866897469935,13.56374116906162,NA,0,NA,NA,NA,1.7723794704949818,NA,7.124561096987921,NA,NA,-14.038281203938208,-7.904258953302
COG,0,3.41535064,-2.514190462274246,15.395745174956799,0,0,NA,-10.065414098624254,18.116606500266688,1.7723794704949818,-3.425306259278179,7.473820833662342,NA,-3.076343844119622,-11.78188831740723,-8.54880203537142
CRI,0,7.78042454,-2.4419940512238907,15.394036376871107,1,1,NA,-9.736596090879548,20.375458986895246,-2.467305961200482,-0.36786390067010855,9.332481501092788,NA,-0.5141599689673148,-12.027739581270584,-8.935698093526318
HRV,21,7.15420884,-1.9860580585730359,15.251452810538451,1,0,10.596867561340332,-9.386164512139517,20.088003001435126,2.555557760918881,2.035282859723443,9.374404823174416,0.035382357730289506,2.5868705035066806,-10.513713530536663,-9.54767033588225
CUB,9,12.78461066,-6.744281466967421,16.24250389139805,0,0,NA,-10.058436612749425,20.47210802944392,1.7723794704949818,0.3224605169947292,8.94819763250835,NA,-1.1628666062880937,-11.479393029841313,-10.037946128829361
CYP,0,6.8085447,-1.778057724451666,13.964779340699925,1,1,NA,-9.270797391516258,19.503403502027275,1.825881518629887,2.9386079367890745,9.743114854707962,-0.036833353405862815,0.8731821449668947,-10.025291722178485,-8.496719199564794
CZE,18,7.24275683,-3.2593908442376587,16.171262793595115,1,0,7.457278251647949,-9.970012450131433,21.86602610666088,0.7735358975608516,0.3802129027438503,9.782201837596576,NA,1.0321572517043778,-10.039943192577423,-10.044393609480931
CIV,0,5.26271074,-2.3680664017058173,16.960789055662023,0,0,NA,-10.100195163993087,20.069520002121028,1.7723794704949818,-2.8535780173723695,7.262949631853349,NA,-2.7799411806803644,-12.055300278641443,-8.89426756519203
DNK,11,10.27382498,-2.295271858691646,15.553074806989798,1,0,6.718006610870361,-10.474222472901644,23.88362641739093,3.4116615236950176,0.7988720836247356,10.88284427197657,NA,1.602076826937525,-9.415150941170753,-8.578595895964753
DJI,0,4.38930145,-2.0961950134332055,13.725578191763633,0,0,NA,-10.37035188434,15.432654234353343,1.7723794704949818,-0.29470270140462096,7.891930941949177,NA,NA,-12.445609814994292,-8.963404256965877
DMA,0,5.45513319,-2.3601658713292557,11.17300930484645,1,1,NA,NA,NA,0.7955926442234671,-0.33413452474517924,8.935434345471396,NA,1.6152789605363866,-14.038281203938208,-5.423616318938198
DOM,0,6.04389175,-3.2084823160598948,16.14587422876354,1,0,2.4403276443481445,-9.78831198629206,21.40570408179146,-2.9023408114165035,-0.1049055713906939,8.84239029780492,NA,-0.5173320662956705,-11.972408749432468,-8.82667176999569
COD,0,3.9869163,-4.939642758731667,18.149456416793317,0,0,NA,-10.115284077761453,19.7001209733148,1.7723794704949818,-3.5361841908211287,6.20922757092128,NA,NA,-12.40430137856782,-8.131836930212277
ECU,0,8.58845682,-3.7337588247837576,16.60126350038366,1,0,6.654263496398926,-9.695959641255177,21.575809128125137,-3.7981058868035875,0.5208470967095779,8.720051034845328,NA,-2.3513764908168002,-11.953913085892841,-9.409081441670413
EGY,36,4.62285691,-5.236589773662061,18.342097895998233,1,1,9.104018211364746,-9.768768767157232,21.866013159369956,-5.547164162964675,0.5447825357547114,8.188403235860315,NA,-2.293566708425822,-12.157363916464655,-9.559008224202136
SLV,0,6.86405934,-5.013544444861772,15.66004019712877,1,0,NA,-9.761999818904739,20.215748390935715,-3.707987794439068,0.435962523410319,8.217584276654051,-1.3633388205281964,-1.1649744121240182,-12.31188333149766,-9.022782165844314
GNQ,0,2.70818175,-4.681676072663292,13.971289625533982,0,0,NA,NA,NA,1.7723794704949818,-4.394987565227336,9.330691568534153,NA,NA,-12.648375821850486,-8.817998031036204
