iso3c,n_amr_events,pubs_sum,gdp_dollars,health_expend_perc,migrant_pop_perc,population,english_spoken,human_consumption_ddd,livestock_consumption_kg_per_pcu,livestock_pcu,country,region,continent,ab_export_perc,ab_import_perc,gdp_per_capita,tourism_outbound_per_capita,tourism_inbound_per_capita,pubs_sum_per_capita
CHL,0,351.3855107,243919079437.22,8.29995557,2.612425722840438,17969353,FALSE,4.3172869682312012,7.65687351031297e-5,4014733800.4181256,Chile,South America,Americas,9.27377229046245e-5,0.023192911145173665,13574.171503961217,2.2833320709988834e-4,3.053532311374817e-4,1.9554711329895963e-5
CHN,107,8523.319332,11015542352468.9,4.88872272,0.07132670176922741,1371220000,FALSE,3.0258612632751465,3.1858985887077803e-4,46772132348.16376,China,Eastern Asia,Asia,0.03358827634837915,0.00311063803193677,8033.3880431067955,NA,9.759192543866046e-5,6.215865675821531e-6
CIV,0,135.0288929,33131113901.4803,5.26271074,9.366165531659734,23226143,FALSE,NA,4.10715387575571e-5,520093937.4260895,Côte d’Ivoire,Western Africa,Africa,0,0.004040618718648596,1426.4578454322054,NA,6.204215654747325e-5,5.813659758316307e-6
CMR,0,237.3174848,30916218544.4404,4.69952298,1.6395311465592783,23298368,TRUE,NA,4.14209670559339e-5,1595168581.3731358,Cameroon,Middle Africa,Africa,0,4.936756084208959e-4,1326.96927718029,NA,3.8500550768191146e-5,1.0186013234918428e-5
COD,0,312.6721002,37917704900.1192,3.9869163,0.7157154746705547,76244544,FALSE,NA,4.04564659111782e-5,359462699.56431127,Congo - Kinshasa,Middle Africa,Africa,0,0.005856274808428659,497.3169608059982,NA,NA,4.100911144540388e-6
COG,0,37.10890091,8553154580.39951,3.41535064,8.092840028870935,4856095,FALSE,NA,4.25251837533925e-5,73780608.69738898,Congo - Brazzaville,Middle Africa,Africa,0,0.0018474353352867768,1761.3235697406064,NA,4.612759840983342e-5,7.641716422351706e-6
COK,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Cook Islands,Polynesia,Oceania,NA,NA,NA,NA,NA,NA
COL,15,366.5945795,293481748240.779,6.0226695,0.280160209030736,47520667,FALSE,2.8694586753845215,5.03615429868645e-5,10217814031.775503,Colombia,South America,Americas,5.126350135973984e-4,0.02336049679782909,6175.876029702592,NA,1.0054572676768195e-4,7.714424115722113e-6
COM,0,0,988150249.533688,7.68427435,1.6149488567371215,777424,FALSE,NA,NA,NA,Comoros,Eastern Africa,Africa,NA,NA,1271.057041631964,NA,NA,0
CPV,0,0,1596800287.16405,5.31378574,2.8440589012144994,524743,FALSE,NA,NA,NA,Cape Verde,Western Africa,Africa,0,0.0016976449852814319,3043.013984300982,NA,NA,0
CRI,0,28.97104247,54775997555.6182,7.78042454,8.698722143056939,4847804,FALSE,NA,5.90813003309347e-5,706235272.3482263,Costa Rica,Central America,Americas,7.506152664449813e-4,0.00612623278397203,11299.136177043916,NA,5.980027245325925e-4,5.976116705625887e-6
CUB,9,117.1096718,87133000000,12.78461066,0.1177594515955761,11324781,FALSE,NA,4.28229402100621e-5,777899603.478737,Cuba,Caribbean,Americas,0,0.01794278975818576,7694.011919524095,NA,3.125888262210104e-4,1.0341009843810666e-5
CUW,0,NA,3151910782.1229,NA,23.807443980250664,157980,NA,NA,NA,NA,Curaçao,Caribbean,Americas,0.038612133531911175,0,19951.327903044057,NA,0.006785669072034435,NA
CYM,0,0,NA,NA,38.43885684660748,61724,NA,NA,NA,NA,Cayman Islands,Caribbean,Americas,NA,NA,NA,NA,0.03405482470351889,0
CYP,0,51.39226211,19680625485.1946,6.8085447,16.896600731275598,1160985,FALSE,NA,9.41334227126971e-5,295270812.6064986,Cyprus,Western Asia,Asia,0.0366233426138932,0.11143174284017505,16951.662153425408,9.63836742076771e-4,0.0023945184476974295,4.4266086219890866e-5
CZE,18,460.0428333,186829940545.759,7.24275683,3.841178965526364,10546059,FALSE,7.4572782516479492,4.67819810194856e-5,3135411011.7390766,Czechia,Eastern Europe,Europe,0.012234496271437616,0.008255969629355072,17715.616852300845,NA,0.002807114961143305,4.362225105131689e-5
DEU,21,6298.594249,3381389338658.82,11.07906625,14.697255588189355,81686611,FALSE,7.0636534690856934,1.0126178764089301e-4,18640581212.169205,Germany,Western Europe,Europe,0.003992721232851275,0.0274904246728564,41394.658160794796,NA,NA,7.710681312265482e-5
DJI,0,3.59652599,1633741922.68737,4.38930145,12.29232609002476,913993,FALSE,NA,3.13482571936413e-5,5038677.64880502,Djibouti,Eastern Africa,Africa,0,0.041665026192160545,1787.4775000326808,NA,NA,3.9349601036331785e-6
DMA,0,0,540830670,5.45513319,9.440456288720622,71183,TRUE,NA,NA,NA,Dominica,Caribbean,Americas,0.029163286911964514,0.009423282152249243,7597.750446033463,NA,0.005029290701431522,0
DNK,10,463.0911328,302673037998.602,10.27382498,10.073400413091761,5683483,FALSE,6.7180066108703613,2.82554987611202e-5,23579096557.513893,Denmark,Northern Europe,Europe,0.05692546715072646,0.004174327962459067,53254.85059049213,NA,0.004963329704689888,8.148016503260413e-5
DOM,0,64.94011122,68802092020.9448,6.04389175,4.041790835738906,10281680,FALSE,2.4403276443481445,5.61035208984371e-5,1978696401.5964212,Dominican Republic,Caribbean,Americas,8.203361313899909e-4,0.013455583279621432,6691.71691989488,NA,5.961088071210152e-4,6.316099238645825e-6
DZA,19,515.2499396,165979277276.907,6.98289165,0.610125975303328,39728025,FALSE,15.404080390930176,5.5404357449041103e-5,1669520413.9658942,Algeria,Northern Africa,Africa,0,0.04531805817813697,4177.888965708892,NA,4.304266320815092e-5,1.2969432525276551e-5
